series_id,source_pdf,source_page,source_figure,year,region,sex,age_class,age_class_source,value,flag,retrieved_at
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1987,全国,総数,40～49歳,40～49歳,4696,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1987,全国,総数,50～59歳,50～59歳,5129,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1987,全国,総数,60歳～,60～69歳|70～79歳|80歳～,7943,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1987,全国,総数,不詳,不詳,80,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1987,全国,総数,合計,合計,24460,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1988,全国,総数,～19歳,～９歳|10～19歳,603,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1988,全国,総数,20～29歳,20～29歳,2479,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1988,全国,総数,30～39歳,30～39歳,3180,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1988,全国,総数,40～49歳,40～49歳,4459,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1988,全国,総数,50～59歳,50～59歳,4886,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1988,全国,総数,60歳～,60～69歳|70～79歳|80歳～,8044,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1988,全国,総数,不詳,不詳,91,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1988,全国,総数,合計,合計,23742,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1989,全国,総数,～19歳,～９歳|10～19歳,534,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1989,全国,総数,20～29歳,20～29歳,2357,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1989,全国,総数,30～39歳,30～39歳,2865,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1989,全国,総数,40～49歳,40～49歳,4202,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1989,全国,総数,50～59歳,50～59歳,4296,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1989,全国,総数,60歳～,60～69歳|70～79歳|80歳～,8075,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1989,全国,総数,不詳,不詳,107,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1989,全国,総数,合計,合計,22436,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1990,全国,総数,～19歳,～９歳|10～19歳,467,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1990,全国,総数,20～29歳,20～29歳,2226,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1990,全国,総数,30～39歳,30～39歳,2543,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1990,全国,総数,40～49歳,40～49歳,3982,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1990,全国,総数,50～59歳,50～59歳,4176,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1990,全国,総数,60歳～,60～69歳|70～79歳|80歳～,7853,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1990,全国,総数,不詳,不詳,99,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1990,全国,総数,合計,合計,21346,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1991,全国,総数,～19歳,～９歳|10～19歳,454,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1991,全国,総数,20～29歳,20～29歳,2215,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1991,全国,総数,30～39歳,30～39歳,2391,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1991,全国,総数,40～49歳,40～49歳,3953,,2026-09-07T08:43:26+00:00
