series_id,stats_data_id,reference_date,source_population_definition,unit,year,sex,age,category,subcategory,value,flag,retrieved_at
pop_total_single_age_annual,0004029959,1998年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1998,,10歳,男女別・性比=男女計,人口=総人口; 全国=全国,1314,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1999年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1999,,10歳,男女別・性比=男女計,人口=総人口; 全国=全国,1271,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1995年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1995,,11歳,男女別・性比=男女計,人口=総人口; 全国=全国,1492,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1996年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1996,,11歳,男女別・性比=男女計,人口=総人口; 全国=全国,1441,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1997年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1997,,11歳,男女別・性比=男女計,人口=総人口; 全国=全国,1380,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1998年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1998,,11歳,男女別・性比=男女計,人口=総人口; 全国=全国,1352,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1999年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1999,,11歳,男女別・性比=男女計,人口=総人口; 全国=全国,1314,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1995年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1995,,12歳,男女別・性比=男女計,人口=総人口; 全国=全国,1508,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1996年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1996,,12歳,男女別・性比=男女計,人口=総人口; 全国=全国,1492,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1997年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1997,,12歳,男女別・性比=男女計,人口=総人口; 全国=全国,1441,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1998年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1998,,12歳,男女別・性比=男女計,人口=総人口; 全国=全国,1381,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1999年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1999,,12歳,男女別・性比=男女計,人口=総人口; 全国=全国,1352,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1995年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1995,,13歳,男女別・性比=男女計,人口=総人口; 全国=全国,1513,,2026-09-07T09:10:21Z
